
===== backside_reject: 43 rows -> 10 first-rejects (33 repeats) =====
  2026-08-05 DIBS   @4.99     off(15:30)   +2.0%  eod   +2.0%  $  -6.00  dg=14.19  [ignition]
  2026-08-11 TNON   @6.76     off(15:30)   +1.9%  eod   +1.9%  $  -6.00  dg=11.74  [ignition]
  2026-08-06 SNOA   @1.2773   off(15:30)   +1.8%  eod   +1.8%  $  -6.00  dg=13.04  [ignition]
  2026-08-11 PPBT   @1.66     off(15:30)   +1.8%  eod   +1.8%  $  -6.00  dg=10.67  [flat_top]
  2026-08-05 VGAS   @1.485    off(15:30)   +1.7%  eod   +7.1%  $  -6.00  dg=10.0  [ma_pullback]
  2026-08-06 JZXN   @1.75     off(15:30)   +1.7%  eod   +1.7%  $  -6.00  dg=8.7  [ignition]
  2026-08-11 YYGH   @1.33     off(15:30)   +1.5%  eod   +1.5%  $  -6.00  dg=9.92  [flat_top]
  2026-08-05 VNRX   @0.87     off(15:30)   +1.3%  eod   +3.4%  $  -6.00  dg=10.77  [ignition]
  2026-08-11 KUST   @1.185    off(15:30)   +1.3%  eod  +13.9%  $  -6.00  dg=8.72  [ignition]
  2026-08-06 FWRD   @17.48    off(15:30)   +1.2%  eod   +2.9%  $  -6.00  dg=13.43  [ignition]
  2026-08-11 GNPX   @4.69     off(15:30)   +1.1%  eod   +1.1%  $  -6.00  dg=11.93  [ma_pullback]
  2026-08-11 XAIR   @5.9643   off(15:30)   +1.1%  eod   +4.0%  $  -6.00  dg=14.7  [flat_top]
  2026-08-10 HDRN   @1.92     off(15:30)   +1.0%  eod   +1.0%  $  -6.00  dg=11.63  [flat_top]
  2026-08-07 SUNE   @2.8142   off(15:30)   +0.9%  eod   +0.9%  $  -6.00  dg=13.94  [ma_pullback]
  2026-08-05 NAMM   @1.49     off(15:30)   +0.7%  eod   +0.7%  $  -6.00  dg=12.88  [ma_pullback]
  2026-08-05 KUST   @1.5406   off(15:30)   +0.6%  eod   +0.6%  $  -6.00  dg=-3.71  [ma_pullback]
  2026-08-06 FHTX   @5.545    off(15:30)   +0.6%  eod   +0.6%  $  -6.00  dg=13.63  [ignition]
  2026-08-11 GLXG   @1.235    off(15:30)   +0.4%  eod   +0.4%  $  -6.00  dg=9.29  [flat_top]
  2026-08-11 FIEE   @3.99     off(15:30)   +0.3%  eod   +0.3%  $  -6.00  dg=9.62  [ignition]
  2026-08-11 OFAL   @0.8901   off(15:30)   +0.1%  eod   +0.1%  $  -6.00  dg=11.64  [flat_top]
  2026-08-05 BDRX   @1.68     off(15:30)   +0.0%  eod   +0.0%  $  -6.00  dg=12.75  [flat_top]
  2026-08-06 CANF   @3.6      off(15:30)   +0.0%  eod   +0.0%  $  -6.00  dg=12.5  [ignition]
  2026-08-06 EZGO   @1.05     off(15:30)   +0.0%  eod   +0.0%  $  -6.00  dg=12.58  [ma_pullback]
  2026-08-06 EZRA   @2.69     off(15:30)   +0.0%  eod   +0.0%  $  -6.00  dg=13.03  [flat_top]
  2026-08-10 ERNA   @4.7399   off(15:30)   +0.0%  eod   +0.0%  $  -6.00  dg=12.59  [ma_pullback]
  2026-08-10 GLXG   @1.1498   off(15:30)   +0.0%  eod   +0.0%  $  -6.00  dg=2.66  [flat_top]
  TOTAL modeled: 106 first-rejects, sum $+582.14, offers>=8%: 46/106

Assumptions: $200 clip, 35% capture of >=8% offers, <4% offers = -$6 stop, 4-8% flat. Daygain board-split NOT computable historically (no dated board archive) — limitation.
